Activity,X,Y,Z,Time
shoulder_press,9.6,-1.16,0.21,2021-07-06 20:06:33
shoulder_press,9.65,-1.43,0.16,2021-07-06 20:06:33
shoulder_press,9.82,-0.91,0.77,2021-07-06 20:06:33
shoulder_press,9.81,-0.78,0.93,2021-07-06 20:06:33
shoulder_press,9.7,-0.11,1.66,2021-07-06 20:06:34
shoulder_press,8.91,-0.32,1.61,2021-07-06 20:06:34
shoulder_press,9.12,0.64,2.6,2021-07-06 20:06:34
shoulder_press,9.96,0.34,3.23,2021-07-06 20:06:34
shoulder_press,10.24,0.03,2.21,2021-07-06 20:06:34
shoulder_press,10.82,0.29,1.49,2021-07-06 20:06:35
shoulder_press,12.08,1.27,2.3,2021-07-06 20:06:35
shoulder_press,10.41,0.93,2.48,2021-07-06 20:06:35
shoulder_press,8.46,-0.66,1.65,2021-07-06 20:06:35
shoulder_press,8.83,0.36,1.72,2021-07-06 20:06:35
shoulder_press,8.83,-0.68,3.18,2021-07-06 20:06:36
shoulder_press,8.44,0.0,3.0,2021-07-06 20:06:36
shoulder_press,9.32,0.93,2.93,2021-07-06 20:06:36
shoulder_press,9.52,0.1,3.69,2021-07-06 20:06:36
shoulder_press,10.22,1.2,2.24,2021-07-06 20:06:36
shoulder_press,11.27,1.37,1.9,2021-07-06 20:06:37
shoulder_press,11.24,1.23,2.04,2021-07-06 20:06:37
shoulder_press,9.39,-0.22,1.27,2021-07-06 20:06:37
shoulder_press,7.76,-1.82,1.86,2021-07-06 20:06:37
shoulder_press,7.92,-2.83,2.71,2021-07-06 20:06:38
shoulder_press,9.33,-1.0,2.17,2021-07-06 20:06:38
shoulder_press,9.7,1.62,3.03,2021-07-06 20:06:38
shoulder_press,9.59,3.05,2.21,2021-07-06 20:06:38
shoulder_press,10.06,2.75,2.77,2021-07-06 20:06:38
shoulder_press,10.49,2.23,1.8,2021-07-06 20:06:39
shoulder_press,11.66,2.05,1.59,2021-07-06 20:06:39
shoulder_press,8.59,-0.55,1.68,2021-07-06 20:06:39
shoulder_press,8.68,-0.68,0.55,2021-07-06 20:06:39
shoulder_press,9.36,-0.69,2.06,2021-07-06 20:06:39
shoulder_press,9.5,-0.21,1.99,2021-07-06 20:06:40
shoulder_press,9.32,-0.98,1.47,2021-07-06 20:06:40
shoulder_press,10.1,-0.72,2.48,2021-07-06 20:06:40
shoulder_press,10.75,-0.23,2.12,2021-07-06 20:06:40
shoulder_press,12.19,0.13,2.38,2021-07-06 20:06:40
shoulder_press,10.22,-0.32,1.81,2021-07-06 20:06:41
shoulder_press,8.81,-0.67,1.05,2021-07-06 20:06:41
shoulder_press,9.42,-0.37,1.26,2021-07-06 20:06:41
shoulder_press,8.88,-1.52,1.65,2021-07-06 20:06:41
shoulder_press,8.69,-0.82,2.22,2021-07-06 20:06:41
shoulder_press,9.59,-0.85,2.17,2021-07-06 20:06:42
shoulder_press,10.21,-0.58,2.21,2021-07-06 20:06:42
shoulder_press,10.74,0.25,2.36,2021-07-06 20:06:42
shoulder_press,11.64,0.03,2.05,2021-07-06 20:06:42
shoulder_press,10.34,0.27,1.23,2021-07-06 20:06:42
shoulder_press,8.25,-1.79,1.79,2021-07-06 20:06:43
shoulder_press,8.55,-0.55,1.74,2021-07-06 20:06:43
shoulder_press,9.01,-1.16,2.56,2021-07-06 20:06:43
shoulder_press,10.03,-0.15,2.0,2021-07-06 20:06:43
shoulder_press,10.03,-0.66,1.99,2021-07-06 20:06:43
shoulder_press,9.46,-1.14,2.48,2021-07-06 20:06:44
shoulder_press,10.1,-0.43,2.83,2021-07-06 20:06:44
shoulder_press,10.44,-0.3,2.07,2021-07-06 20:06:44
shoulder_press,12.0,0.3,2.34,2021-07-06 20:06:44
shoulder_press,10.31,0.3,2.42,2021-07-06 20:06:44
shoulder_press,8.7,-1.36,1.77,2021-07-06 20:06:45
shoulder_press,8.44,-0.7,2.14,2021-07-06 20:06:45
shoulder_press,9.36,-0.09,2.06,2021-07-06 20:06:45
shoulder_press,9.54,-0.74,2.79,2021-07-06 20:06:45
shoulder_press,8.94,-2.52,2.87,2021-07-06 20:06:46
shoulder_press,10.41,-0.82,3.3,2021-07-06 20:06:46
shoulder_press,10.71,-1.07,2.84,2021-07-06 20:06:46
shoulder_press,11.77,-1.29,2.42,2021-07-06 20:06:46
shoulder_press,10.63,0.03,1.44,2021-07-06 20:06:46
shoulder_press,8.6,-1.58,0.98,2021-07-06 20:06:46
shoulder_press,8.36,-1.35,1.49,2021-07-06 20:06:47
shoulder_press,8.9,-1.37,1.81,2021-07-06 20:06:47
shoulder_press,9.03,-1.44,1.94,2021-07-06 20:06:47
shoulder_press,9.84,-0.78,2.57,2021-07-06 20:06:47
shoulder_press,10.22,-0.6,2.33,2021-07-06 20:06:47
shoulder_press,10.79,-0.19,2.46,2021-07-06 20:06:48
shoulder_press,11.69,-0.18,2.11,2021-07-06 20:06:48
shoulder_press,10.23,-0.91,1.34,2021-07-06 20:06:48
shoulder_press,8.68,-1.16,2.1,2021-07-06 20:06:48
shoulder_press,8.78,-1.14,1.74,2021-07-06 20:06:48
shoulder_press,8.71,-1.78,1.09,2021-07-06 20:06:49
shoulder_press,9.19,-1.07,2.94,2021-07-06 20:06:49
shoulder_press,10.0,-0.77,2.87,2021-07-06 20:06:49
shoulder_press,10.07,-1.04,2.64,2021-07-06 20:06:49
shoulder_press,10.05,-0.45,2.76,2021-07-06 20:06:50
shoulder_press,11.69,-0.23,2.96,2021-07-06 20:06:50
shoulder_press,10.29,-0.75,2.5,2021-07-06 20:06:50
shoulder_press,9.08,-1.63,0.86,2021-07-06 20:06:50
shoulder_press,8.01,-2.33,1.46,2021-07-06 20:06:50
shoulder_press,8.88,-2.28,1.35,2021-07-06 20:06:51
shoulder_press,9.55,-1.11,1.38,2021-07-06 20:06:51
shoulder_press,9.73,-1.44,2.38,2021-07-06 20:06:51
shoulder_press,9.99,-1.75,2.18,2021-07-06 20:06:51
shoulder_press,10.24,-1.11,1.9,2021-07-06 20:06:51
shoulder_press,10.76,-0.49,1.71,2021-07-06 20:06:52
shoulder_press,11.63,-0.35,1.7,2021-07-06 20:06:52
shoulder_press,10.74,0.74,1.76,2021-07-06 20:06:52
shoulder_press,8.53,-0.69,0.51,2021-07-06 20:06:52
shoulder_press,8.61,-1.55,0.97,2021-07-06 20:06:52
shoulder_press,9.36,-0.7,1.14,2021-07-06 20:06:53
shoulder_press,10.11,-0.57,1.47,2021-07-06 20:06:53
